Signature	Cell type	Annotation	Pvalue	FDR
Disease-state	Naive B	Bacterial invasion of epithelial cells	0.017	0.15
Disease-state	Naive B	Steroid biosynthesis	0.018	0.15
Disease-state	Naive B	RIG-I-like receptor signaling pathway	0.018	0.15
Disease-state	Naive B	Fc gamma R-mediated phagocytosis	0.02	0.17
Disease-state	Naive B	Human cytomegalovirus infection	0.021	0.17
Disease-state	Naive B	HIF-1 signaling pathway	0.021	0.17
Disease-state	Naive B	Lipid and atherosclerosis	0.022	0.17
Disease-state	Naive B	Biosynthesis of amino acids	0.022	0.17
Disease-state	Naive B	Retrograde endocannabinoid signaling	0.027	0.2
Disease-state	Naive B	Glucagon signaling pathway	0.03	0.21
Disease-state	Naive B	Glyoxylate and dicarboxylate metabolism	0.031	0.21
Disease-state	Naive B	Human papillomavirus infection	0.031	0.21
Disease-state	Naive B	Fructose and mannose metabolism	0.031	0.21
Disease-state	Naive B	Regulation of actin cytoskeleton	0.033	0.22
Disease-state	Naive B	Lysosome	0.036	0.23
Disease-state	Naive B	Yersinia infection	0.037	0.24
Disease-state	Naive B	Vibrio cholerae infection	0.04	0.25
Disease-state	Naive B	Cellular senescence	0.042	0.26
Disease-state	Naive B	Leishmaniasis	0.044	0.26
Disease-state	Naive B	Coronavirus disease - COVID-19	0.049	0.29
Disease-state	Naive B	Toxoplasmosis	0.05	0.29
Disease-state	USM B	Parkinson disease	1.2e-21	3.9e-19
Disease-state	USM B	Oxidative phosphorylation	1.4e-20	2.3e-18
Disease-state	USM B	Prion disease	2.8e-18	3.1e-16
Disease-state	USM B	Amyotrophic lateral sclerosis	6e-16	4.8e-14
Disease-state	USM B	Diabetic cardiomyopathy	5.5e-15	3.6e-13
Disease-state	USM B	Alzheimer disease	1.2e-13	6.3e-12
Disease-state	USM B	Pathways of neurodegeneration - multiple diseases	5.3e-13	2.5e-11
Disease-state	USM B	Huntington disease	5.6e-12	2.3e-10
Disease-state	USM B	Proteasome	7e-12	2.5e-10
Disease-state	USM B	Thermogenesis	7.6e-11	2.5e-09
Disease-state	USM B	Chemical carcinogenesis - reactive oxygen species	4.5e-10	1.3e-08
Disease-state	USM B	Non-alcoholic fatty liver disease	1.7e-09	4.6e-08
Disease-state	USM B	Protein processing in endoplasmic reticulum	7.7e-07	1.9e-05
Disease-state	USM B	Metabolic pathways	0.00021	0.0049
Disease-state	USM B	Cardiac muscle contraction	0.00057	0.012
Disease-state	USM B	Hepatitis C	0.00066	0.013
Disease-state	USM B	Protein export	0.00068	0.013
Disease-state	USM B	Lysosome	0.00088	0.016
Disease-state	USM B	p53 signaling pathway	0.0012	0.021
Disease-state	USM B	Vibrio cholerae infection	0.0013	0.022
Disease-state	USM B	Herpes simplex virus 1 infection	0.0017	0.026
Disease-state	USM B	Spinocerebellar ataxia	0.0019	0.028
Disease-state	USM B	Retrograde endocannabinoid signaling	0.0044	0.063
Disease-state	USM B	B cell receptor signaling pathway	0.0052	0.07
Disease-state	USM B	Glucagon signaling pathway	0.0071	0.092
Disease-state	USM B	Influenza A	0.0088	0.11
Disease-state	USM B	Porphyrin and chlorophyll metabolism	0.01	0.12
Disease-state	USM B	Neurotrophin signaling pathway	0.012	0.14
Disease-state	USM B	Autophagy - other	0.012	0.14
Disease-state	USM B	N-Glycan biosynthesis	0.019	0.21
Disease-state	USM B	Biosynthesis of nucleotide sugars	0.02	0.21
Disease-state	USM B	Cell cycle	0.022	0.22
Disease-state	USM B	Fat digestion and absorption	0.023	0.22
Disease-state	USM B	Autophagy - animal	0.024	0.23
Disease-state	USM B	Other glycan degradation	0.025	0.23
Disease-state	USM B	Various types of N-glycan biosynthesis	0.03	0.27
Disease-state	USM B	Cellular senescence	0.035	0.3
Disease-state	USM B	Human immunodeficiency virus 1 infection	0.036	0.31
Disease-state	USM B	Carbon metabolism	0.043	0.35
Disease-state	USM B	Citrate cycle (TCA cycle)	0.047	0.37
Disease-state	USM B	Glyoxylate and dicarboxylate metabolism	0.047	0.37
Disease-state	SM B	Parkinson disease	1.9e-16	6.2e-14
Disease-state	SM B	Proteasome	1.2e-15	1.9e-13
Disease-state	SM B	Prion disease	3.9e-13	4.2e-11
Disease-state	SM B	Amyotrophic lateral sclerosis	5.3e-13	4.3e-11
Disease-state	SM B	Pathways of neurodegeneration - multiple diseases	8e-13	5.2e-11
Disease-state	SM B	Huntington disease	1.2e-11	6.2e-10
Disease-state	SM B	Oxidative phosphorylation	1.9e-09	8.6e-08
Disease-state	SM B	Alzheimer disease	1.8e-07	7.4e-06
Disease-state	SM B	Protein processing in endoplasmic reticulum	1e-06	3.6e-05
Disease-state	SM B	Epstein-Barr virus infection	1.3e-06	4.1e-05
Disease-state	SM B	Chemical carcinogenesis - reactive oxygen species	1.1e-05	0.0003
Disease-state	SM B	Salmonella infection	1.1e-05	0.0003
Disease-state	SM B	Diabetic cardiomyopathy	1.5e-05	0.00036
Disease-state	SM B	Spinocerebellar ataxia	3.4e-05	0.00078
Disease-state	SM B	Non-alcoholic fatty liver disease	9.3e-05	0.002
Disease-state	SM B	Shigellosis	0.00012	0.0025
Disease-state	SM B	Pathogenic Escherichia coli infection	0.00018	0.0034
Disease-state	SM B	Thermogenesis	0.00039	0.0071
Disease-state	SM B	Hepatitis C	0.00064	0.01
Disease-state	SM B	Measles	0.00064	0.01
Disease-state	SM B	Terpenoid backbone biosynthesis	0.00095	0.015
Disease-state	SM B	Human immunodeficiency virus 1 infection	0.0011	0.017
Disease-state	SM B	Glycolysis / Gluconeogenesis	0.0017	0.024
Disease-state	SM B	Endocytosis	0.0021	0.028
Disease-state	SM B	Tight junction	0.0027	0.035
Disease-state	SM B	Kaposi sarcoma-associated herpesvirus infection	0.0028	0.035
Disease-state	SM B	Vibrio cholerae infection	0.0045	0.053
Disease-state	SM B	Influenza A	0.0046	0.053
Disease-state	SM B	Retrograde endocannabinoid signaling	0.0057	0.063
Disease-state	SM B	Bacterial invasion of epithelial cells	0.0064	0.069
Disease-state	SM B	Steroid biosynthesis	0.0072	0.075
Disease-state	SM B	Cellular senescence	0.0079	0.08
Disease-state	SM B	Apoptosis	0.0084	0.083
Disease-state	SM B	Human cytomegalovirus infection	0.009	0.086
Disease-state	SM B	Pyruvate metabolism	0.012	0.11
Disease-state	SM B	RIG-I-like receptor signaling pathway	0.013	0.11
Disease-state	SM B	Viral carcinogenesis	0.014	0.12
Disease-state	SM B	Lipid and atherosclerosis	0.014	0.12
Disease-state	SM B	NOD-like receptor signaling pathway	0.016	0.13
Disease-state	SM B	B cell receptor signaling pathway	0.018	0.15
Disease-state	SM B	Lysosome	0.02	0.16
Disease-state	SM B	Glucagon signaling pathway	0.022	0.17
Disease-state	SM B	Cardiac muscle contraction	0.023	0.17
Disease-state	SM B	Other glycan degradation	0.023	0.17
Disease-state	SM B	Neurotrophin signaling pathway	0.03	0.21
Disease-state	SM B	Adrenergic signaling in cardiomyocytes	0.03	0.21
Disease-state	SM B	cGMP-PKG signaling pathway	0.034	0.23
Disease-state	SM B	Leukocyte transendothelial migration	0.038	0.26
Disease-state	SM B	Aminoacyl-tRNA biosynthesis	0.04	0.27
Disease-state	SM B	Amphetamine addiction	0.043	0.27
Disease-state	SM B	Hepatitis B	0.043	0.27
Disease-state	SM B	Citrate cycle (TCA cycle)	0.044	0.27
Disease-state	SM B	Antigen processing and presentation	0.045	0.27
Disease-state	SM B	Cytosolic DNA-sensing pathway	0.046	0.28
Disease-state	SM B	p53 signaling pathway	0.049	0.29
Disease-state	DN B	Parkinson disease	1.5e-20	4.8e-18
Disease-state	DN B	Prion disease	1.1e-17	1.8e-15
Disease-state	DN B	Oxidative phosphorylation	7e-15	7.6e-13
Disease-state	DN B	Amyotrophic lateral sclerosis	1.7e-14	1.4e-12
Disease-state	DN B	Huntington disease	5.3e-14	3.5e-12
Disease-state	DN B	Diabetic cardiomyopathy	6.9e-14	3.8e-12
Disease-state	DN B	Proteasome	3.5e-13	1.6e-11
Disease-state	DN B	Pathways of neurodegeneration - multiple diseases	7.5e-13	3e-11
Disease-state	DN B	Alzheimer disease	1.9e-12	6.9e-11
Disease-state	DN B	Chemical carcinogenesis - reactive oxygen species	3.9e-08	1.3e-06
Disease-state	DN B	Thermogenesis	5.3e-07	1.6e-05
Disease-state	DN B	Non-alcoholic fatty liver disease	7.4e-07	2e-05
Disease-state	DN B	Herpes simplex virus 1 infection	4.4e-06	0.00011
Disease-state	DN B	Protein processing in endoplasmic reticulum	3.4e-05	0.0008
Disease-state	DN B	Spinocerebellar ataxia	4.5e-05	0.00098
Disease-state	DN B	Protein export	0.00035	0.0071
Disease-state	DN B	Terpenoid backbone biosynthesis	0.00037	0.0071
Disease-state	DN B	Cellular senescence	0.00097	0.017
Disease-state	DN B	Epstein-Barr virus infection	0.0011	0.018
Disease-state	DN B	Retrograde endocannabinoid signaling	0.0023	0.038
Disease-state	DN B	Glycolysis / Gluconeogenesis	0.0031	0.047
Disease-state	DN B	Valine, leucine and isoleucine degradation	0.0062	0.088
Disease-state	DN B	Carbon metabolism	0.0065	0.088
Disease-state	DN B	Metabolic pathways	0.0067	0.088
Disease-state	DN B	Citrate cycle (TCA cycle)	0.0067	0.088
Disease-state	DN B	Glucagon signaling pathway	0.0096	0.12
Disease-state	DN B	Influenza A	0.011	0.13
Disease-state	DN B	Pancreatic cancer	0.012	0.14
Disease-state	DN B	Vibrio cholerae infection	0.012	0.14
Disease-state	DN B	Biosynthesis of amino acids	0.014	0.15
Disease-state	DN B	Amino sugar and nucleotide sugar metabolism	0.016	0.16
Disease-state	DN B	Cardiac muscle contraction	0.016	0.16
Disease-state	DN B	Tuberculosis	0.016	0.16
Disease-state	DN B	Fatty acid metabolism	0.018	0.16
Disease-state	DN B	Hepatitis C	0.018	0.16
Disease-state	DN B	Measles	0.018	0.16
Disease-state	DN B	Fatty acid degradation	0.019	0.16
Disease-state	DN B	Synaptic vesicle cycle	0.021	0.18
Disease-state	DN B	Pyruvate metabolism	0.021	0.18
Disease-state	DN B	Cysteine and methionine metabolism	0.024	0.2
Disease-state	DN B	Toxoplasmosis	0.028	0.22
Disease-state	DN B	Antigen processing and presentation	0.037	0.29
Disease-state	DN B	Necroptosis	0.038	0.29
Disease-state	DN B	Various types of N-glycan biosynthesis	0.042	0.31
Disease-state	DN B	Non-homologous end-joining	0.045	0.33
Disease-state	DN B	Cell cycle	0.049	0.35
Disease-state	Plasmablast	Influenza A	4.5e-07	7.4e-05
Disease-state	Plasmablast	Hepatitis C	4.9e-07	7.4e-05
Disease-state	Plasmablast	Epstein-Barr virus infection	1.4e-06	0.00014
Disease-state	Plasmablast	Proteasome	4.7e-06	0.00035
Disease-state	Plasmablast	Measles	5.8e-06	0.00035
Disease-state	Plasmablast	Human papillomavirus infection	4.1e-05	0.0021
Disease-state	Plasmablast	NOD-like receptor signaling pathway	0.00048	0.02
Disease-state	Plasmablast	RIG-I-like receptor signaling pathway	0.00055	0.021
Disease-state	Plasmablast	Coronavirus disease - COVID-19	0.0011	0.038
Disease-state	Plasmablast	Viral carcinogenesis	0.002	0.056
Disease-state	Plasmablast	Toxoplasmosis	0.0021	0.056
Disease-state	Plasmablast	JAK-STAT signaling pathway	0.0029	0.072
Disease-state	Plasmablast	Pathways in cancer	0.0032	0.074
Disease-state	Plasmablast	Cytosolic DNA-sensing pathway	0.0035	0.075
Disease-state	Plasmablast	mTOR signaling pathway	0.0041	0.08
Disease-state	Plasmablast	Antigen processing and presentation	0.0044	0.08
Disease-state	Plasmablast	Kaposi sarcoma-associated herpesvirus infection	0.0046	0.08
Disease-state	Plasmablast	Small cell lung cancer	0.0078	0.13
Disease-state	Plasmablast	PI3K-Akt signaling pathway	0.0089	0.14
Disease-state	Plasmablast	Autoimmune thyroid disease	0.014	0.21
Disease-state	Plasmablast	Hepatitis B	0.015	0.21
Disease-state	Plasmablast	Insulin signaling pathway	0.015	0.21
Disease-state	Plasmablast	Necroptosis	0.016	0.21
Disease-state	Plasmablast	Human cytomegalovirus infection	0.017	0.21
Disease-state	Plasmablast	Hippo signaling pathway - multiple species	0.019	0.21
Disease-state	Plasmablast	Th17 cell differentiation	0.019	0.21
Disease-state	Plasmablast	Viral myocarditis	0.019	0.21
Disease-state	Plasmablast	Type I diabetes mellitus	0.019	0.21
Disease-state	Plasmablast	Th1 and Th2 cell differentiation	0.025	0.26
Disease-state	Plasmablast	Focal adhesion	0.027	0.27
Disease-state	Plasmablast	Non-small cell lung cancer	0.028	0.27
Disease-state	Plasmablast	Spinocerebellar ataxia	0.029	0.27
Disease-state	Plasmablast	Prolactin signaling pathway	0.03	0.27
Disease-state	Plasmablast	Chemical carcinogenesis - reactive oxygen species	0.034	0.3
Disease-state	Plasmablast	Pyrimidine metabolism	0.036	0.3
Disease-state	Plasmablast	Inflammatory bowel disease	0.037	0.3
Disease-state	Plasmablast	Endocytosis	0.038	0.3
Disease-state	Plasmablast	HIF-1 signaling pathway	0.041	0.32
Disease-state	Plasmablast	Insulin resistance	0.045	0.33
Disease-state	Plasmablast	Allograft rejection	0.045	0.33
Disease-state	Plasmablast	Graft-versus-host disease	0.045	0.33
Disease-state	Plasmablast	FoxO signaling pathway	0.047	0.33
Disease-state	Plasmablast	Human T-cell leukemia virus 1 infection	0.048	0.33
Disease-state	CL Mono	Proteasome	9.5e-08	3.1e-05
Disease-state	CL Mono	Influenza A	6.3e-07	0.0001
Disease-state	CL Mono	Epstein-Barr virus infection	4e-05	0.0038
Disease-state	CL Mono	Hepatitis C	4.7e-05	0.0038
Disease-state	CL Mono	RIG-I-like receptor signaling pathway	0.00014	0.009
Disease-state	CL Mono	Adipocytokine signaling pathway	0.00045	0.022
Disease-state	CL Mono	NOD-like receptor signaling pathway	0.00048	0.022
Disease-state	CL Mono	Parkinson disease	0.00087	0.035
Disease-state	CL Mono	Alzheimer disease	0.001	0.036
Disease-state	CL Mono	Measles	0.0012	0.037
Disease-state	CL Mono	Coronavirus disease - COVID-19	0.0015	0.043
Disease-state	CL Mono	Pathways in cancer	0.0021	0.057
Disease-state	CL Mono	Kaposi sarcoma-associated herpesvirus infection	0.0024	0.059
Disease-state	CL Mono	Circadian rhythm	0.0032	0.073
Disease-state	CL Mono	Osteoclast differentiation	0.005	0.11
Disease-state	CL Mono	Human immunodeficiency virus 1 infection	0.0076	0.15
Disease-state	CL Mono	p53 signaling pathway	0.0081	0.15
Disease-state	CL Mono	Necroptosis	0.011	0.17
Disease-state	CL Mono	Acute myeloid leukemia	0.011	0.17
Disease-state	CL Mono	FoxO signaling pathway	0.011	0.17
Disease-state	CL Mono	Endocytosis	0.011	0.17
Disease-state	CL Mono	Transcriptional misregulation in cancer	0.012	0.17
Disease-state	CL Mono	Pathways of neurodegeneration - multiple diseases	0.012	0.17
Disease-state	CL Mono	Circadian entrainment	0.015	0.2
Disease-state	CL Mono	Human cytomegalovirus infection	0.018	0.24
Disease-state	CL Mono	Cytosolic DNA-sensing pathway	0.022	0.27
Disease-state	CL Mono	Oxidative phosphorylation	0.023	0.27
Disease-state	CL Mono	PI3K-Akt signaling pathway	0.024	0.27
Disease-state	CL Mono	Shigellosis	0.025	0.27
Disease-state	CL Mono	Alcoholic liver disease	0.025	0.27
Disease-state	CL Mono	Lipid and atherosclerosis	0.027	0.27
Disease-state	CL Mono	Hepatitis B	0.027	0.27
Disease-state	CL Mono	Citrate cycle (TCA cycle)	0.031	0.3
Disease-state	CL Mono	Amyotrophic lateral sclerosis	0.033	0.31
Disease-state	CL Mono	Autophagy - animal	0.036	0.32
Disease-state	CL Mono	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.036	0.32
Disease-state	CL Mono	Apelin signaling pathway	0.039	0.33
Disease-state	CL Mono	Non-alcoholic fatty liver disease	0.039	0.33
Disease-state	CL Mono	Renin secretion	0.044	0.37
Disease-state	CL Mono	Glycolysis / Gluconeogenesis	0.048	0.38
Disease-state	CL Mono	Salmonella infection	0.049	0.38
Disease-state	CD16p Mono	NOD-like receptor signaling pathway	2.3e-09	7.4e-07
Disease-state	CD16p Mono	Influenza A	4.7e-06	0.00074
Disease-state	CD16p Mono	Epstein-Barr virus infection	1e-05	0.0011
Disease-state	CD16p Mono	Coronavirus disease - COVID-19	6.6e-05	0.0052
Disease-state	CD16p Mono	Hepatitis C	0.00017	0.01
Disease-state	CD16p Mono	Toll-like receptor signaling pathway	0.00041	0.022
Disease-state	CD16p Mono	Hepatitis B	0.00086	0.039
Disease-state	CD16p Mono	Bladder cancer	0.001	0.039
Disease-state	CD16p Mono	Kaposi sarcoma-associated herpesvirus infection	0.0011	0.039
Disease-state	CD16p Mono	Lipid and atherosclerosis	0.0016	0.05
Disease-state	CD16p Mono	Leishmaniasis	0.0024	0.066
Disease-state	CD16p Mono	Lysosome	0.0026	0.066
Disease-state	CD16p Mono	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.0027	0.066
Disease-state	CD16p Mono	RIG-I-like receptor signaling pathway	0.0032	0.071
Disease-state	CD16p Mono	Proteasome	0.0049	0.1
Disease-state	CD16p Mono	Sphingolipid metabolism	0.0059	0.11
Disease-state	CD16p Mono	Complement and coagulation cascades	0.0061	0.11
Disease-state	CD16p Mono	Other glycan degradation	0.0065	0.11
Disease-state	CD16p Mono	Measles	0.0068	0.11
Disease-state	CD16p Mono	Transcriptional misregulation in cancer	0.008	0.12
Disease-state	CD16p Mono	Choline metabolism in cancer	0.0081	0.12
Disease-state	CD16p Mono	Pertussis	0.009	0.13
Disease-state	CD16p Mono	Chemokine signaling pathway	0.0093	0.13
Disease-state	CD16p Mono	Glycosaminoglycan degradation	0.0096	0.13
Disease-state	CD16p Mono	Neuroactive ligand-receptor interaction	0.013	0.16
Disease-state	CD16p Mono	Staphylococcus aureus infection	0.014	0.16
Disease-state	CD16p Mono	Phagosome	0.014	0.16
Disease-state	CD16p Mono	Human cytomegalovirus infection	0.015	0.17
Disease-state	CD16p Mono	Circadian rhythm	0.016	0.18
Disease-state	CD16p Mono	Legionellosis	0.017	0.18
Disease-state	CD16p Mono	Human immunodeficiency virus 1 infection	0.017	0.18
Disease-state	CD16p Mono	Steroid biosynthesis	0.019	0.19
Disease-state	CD16p Mono	JAK-STAT signaling pathway	0.02	0.19
Disease-state	CD16p Mono	EGFR tyrosine kinase inhibitor resistance	0.023	0.22
Disease-state	CD16p Mono	Oxytocin signaling pathway	0.025	0.23
Disease-state	CD16p Mono	Autophagy - animal	0.029	0.25
Disease-state	CD16p Mono	MicroRNAs in cancer	0.029	0.25
Disease-state	CD16p Mono	Antigen processing and presentation	0.031	0.26
Disease-state	CD16p Mono	IL-17 signaling pathway	0.035	0.28
Disease-state	CD16p Mono	Sphingolipid signaling pathway	0.035	0.28
Disease-state	CD16p Mono	Prolactin signaling pathway	0.036	0.28
Disease-state	CD16p Mono	B cell receptor signaling pathway	0.038	0.29
Disease-state	CD16p Mono	Viral protein interaction with cytokine and cytokine receptor	0.04	0.3
Disease-state	CD16p Mono	Protein export	0.042	0.3
Disease-state	CD16p Mono	Toxoplasmosis	0.045	0.32
Disease-state	CD16p Mono	Parathyroid hormone synthesis, secretion and action	0.048	0.33
Disease-state	CD16p Mono	Amino sugar and nucleotide sugar metabolism	0.049	0.33
Disease-state	Int Mono	Epstein-Barr virus infection	4.6e-08	9.6e-06
Disease-state	Int Mono	Coronavirus disease - COVID-19	6.3e-08	9.6e-06
Disease-state	Int Mono	NOD-like receptor signaling pathway	1.4e-07	1.4e-05
Disease-state	Int Mono	Influenza A	5.9e-07	4.5e-05
Disease-state	Int Mono	Hepatitis C	5.6e-06	0.00034
Disease-state	Int Mono	Malaria	0.00039	0.02
Disease-state	Int Mono	Kaposi sarcoma-associated herpesvirus infection	0.00055	0.024
Disease-state	Int Mono	JAK-STAT signaling pathway	0.00072	0.027
Disease-state	Int Mono	Measles	0.00092	0.031
Disease-state	Int Mono	Hepatitis B	0.0015	0.045
Disease-state	Int Mono	Neuroactive ligand-receptor interaction	0.0017	0.047
Disease-state	Int Mono	Viral protein interaction with cytokine and cytokine receptor	0.002	0.049
Disease-state	Int Mono	Circadian rhythm	0.0021	0.049
Disease-state	Int Mono	Bladder cancer	0.0026	0.054
Disease-state	Int Mono	Cytosolic DNA-sensing pathway	0.0027	0.054
Disease-state	Int Mono	Staphylococcus aureus infection	0.0038	0.072
Disease-state	Int Mono	Cytokine-cytokine receptor interaction	0.0047	0.084
Disease-state	Int Mono	Complement and coagulation cascades	0.0061	0.1
Disease-state	Int Mono	Toll-like receptor signaling pathway	0.0064	0.1
Disease-state	Int Mono	Legionellosis	0.0095	0.14
Disease-state	Int Mono	Pathways in cancer	0.012	0.17
Disease-state	Int Mono	MicroRNAs in cancer	0.013	0.17
Disease-state	Int Mono	RIG-I-like receptor signaling pathway	0.015	0.19
Disease-state	Int Mono	Proteasome	0.016	0.19
Disease-state	Int Mono	Human immunodeficiency virus 1 infection	0.016	0.19
Disease-state	Int Mono	Toxoplasmosis	0.016	0.19
Disease-state	Int Mono	Leishmaniasis	0.018	0.21
Disease-state	Int Mono	Pertussis	0.02	0.21
Disease-state	Int Mono	Acute myeloid leukemia	0.02	0.21
Disease-state	Int Mono	Human cytomegalovirus infection	0.021	0.21
Disease-state	Int Mono	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.023	0.22
Disease-state	Int Mono	Steroid biosynthesis	0.024	0.22
Disease-state	Int Mono	Alcoholic liver disease	0.025	0.22
Disease-state	Int Mono	Chemokine signaling pathway	0.026	0.22
Disease-state	Int Mono	Autoimmune thyroid disease	0.026	0.22
Disease-state	Int Mono	Allograft rejection	0.026	0.22
Disease-state	Int Mono	Antigen processing and presentation	0.028	0.23
Disease-state	Int Mono	C-type lectin receptor signaling pathway	0.038	0.29
Disease-state	Int Mono	Transcriptional misregulation in cancer	0.038	0.29
Disease-state	Int Mono	Adipocytokine signaling pathway	0.039	0.29
Disease-state	Int Mono	Glioma	0.043	0.32
Disease-state	Int Mono	Necroptosis	0.046	0.33
Disease-state	NC Mono	Epstein-Barr virus infection	4.9e-10	1.5e-07
Disease-state	NC Mono	NOD-like receptor signaling pathway	1.1e-09	1.7e-07
Disease-state	NC Mono	Influenza A	2.2e-07	2.2e-05
Disease-state	NC Mono	Coronavirus disease - COVID-19	5.1e-06	0.00039
Disease-state	NC Mono	Hepatitis C	6.5e-06	0.00039
Disease-state	NC Mono	Human immunodeficiency virus 1 infection	1.8e-05	0.00085
Disease-state	NC Mono	Measles	2e-05	0.00085
Disease-state	NC Mono	Hepatitis B	0.00012	0.0046
Disease-state	NC Mono	Kaposi sarcoma-associated herpesvirus infection	0.00027	0.0091
Disease-state	NC Mono	Human cytomegalovirus infection	0.00039	0.012
Disease-state	NC Mono	Transcriptional misregulation in cancer	0.00052	0.014
Disease-state	NC Mono	Leishmaniasis	0.001	0.026
Disease-state	NC Mono	Pathways in cancer	0.0013	0.027
Disease-state	NC Mono	Necroptosis	0.0013	0.027
Disease-state	NC Mono	Lipid and atherosclerosis	0.0014	0.027
Disease-state	NC Mono	RIG-I-like receptor signaling pathway	0.0018	0.032
Disease-state	NC Mono	Neutrophil extracellular trap formation	0.0018	0.032
Disease-state	NC Mono	Viral carcinogenesis	0.0028	0.047
Disease-state	NC Mono	Acute myeloid leukemia	0.003	0.048
Disease-state	NC Mono	Toxoplasmosis	0.0035	0.052
Disease-state	NC Mono	Chemokine signaling pathway	0.0039	0.056
Disease-state	NC Mono	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.0043	0.058
Disease-state	NC Mono	Proteasome	0.0055	0.069
Disease-state	NC Mono	Circadian entrainment	0.0055	0.069
Disease-state	NC Mono	Toll-like receptor signaling pathway	0.0069	0.083
Disease-state	NC Mono	Osteoclast differentiation	0.008	0.09
Disease-state	NC Mono	AGE-RAGE signaling pathway in diabetic complications	0.0084	0.09
Disease-state	NC Mono	Pertussis	0.0084	0.09
Disease-state	NC Mono	Cytosolic DNA-sensing pathway	0.009	0.091
Disease-state	NC Mono	Circadian rhythm	0.0092	0.091
Disease-state	NC Mono	Phagosome	0.0094	0.091
Disease-state	NC Mono	Neuroactive ligand-receptor interaction	0.0097	0.091
Disease-state	NC Mono	Bladder cancer	0.01	0.093
Disease-state	NC Mono	JAK-STAT signaling pathway	0.011	0.095
Disease-state	NC Mono	Staphylococcus aureus infection	0.012	0.1
Disease-state	NC Mono	Antigen processing and presentation	0.012	0.1
Disease-state	NC Mono	Proteoglycans in cancer	0.013	0.1
Disease-state	NC Mono	MicroRNAs in cancer	0.014	0.11
Disease-state	NC Mono	Systemic lupus erythematosus	0.015	0.11
Disease-state	NC Mono	Chagas disease	0.015	0.11
Disease-state	NC Mono	Glioma	0.019	0.14
Disease-state	NC Mono	C-type lectin receptor signaling pathway	0.019	0.14
Disease-state	NC Mono	p53 signaling pathway	0.02	0.14
Disease-state	NC Mono	Ferroptosis	0.02	0.14
Disease-state	NC Mono	Human papillomavirus infection	0.022	0.15
Disease-state	NC Mono	HIF-1 signaling pathway	0.024	0.16
Disease-state	NC Mono	Steroid biosynthesis	0.025	0.16
Disease-state	NC Mono	Non-small cell lung cancer	0.027	0.17
Disease-state	NC Mono	Axon guidance	0.029	0.18
Disease-state	NC Mono	Chronic myeloid leukemia	0.03	0.18
Disease-state	NC Mono	Cellular senescence	0.03	0.18
Disease-state	NC Mono	Shigellosis	0.032	0.19
Disease-state	NC Mono	Renin secretion	0.035	0.2
Disease-state	NC Mono	Natural killer cell mediated cytotoxicity	0.037	0.2
Disease-state	NC Mono	Neurotrophin signaling pathway	0.038	0.21
Disease-state	NC Mono	Adipocytokine signaling pathway	0.04	0.22
Disease-state	NC Mono	B cell receptor signaling pathway	0.043	0.23
Disease-state	NC Mono	Complement and coagulation cascades	0.05	0.26
Disease-state	mDC	Proteasome	1.4e-19	4.4e-17
Disease-state	mDC	Parkinson disease	4.2e-08	6.6e-06
Disease-state	mDC	Epstein-Barr virus infection	1.2e-06	0.00013
Disease-state	mDC	Amyotrophic lateral sclerosis	8.7e-06	0.00069
Disease-state	mDC	Spinocerebellar ataxia	1.7e-05	0.001
Disease-state	mDC	Prion disease	3.2e-05	0.0015
Disease-state	mDC	Influenza A	3.4e-05	0.0015
Disease-state	mDC	Hepatitis C	9.5e-05	0.0038
Disease-state	mDC	Alzheimer disease	0.00028	0.0098
Disease-state	mDC	Protein processing in endoplasmic reticulum	0.00074	0.023
Disease-state	mDC	Huntington disease	0.002	0.053
Disease-state	mDC	Terpenoid backbone biosynthesis	0.002	0.053
Disease-state	mDC	Citrate cycle (TCA cycle)	0.003	0.072
Disease-state	mDC	Hepatitis B	0.0071	0.15
Disease-state	mDC	Ribosome biogenesis in eukaryotes	0.0072	0.15
Disease-state	mDC	Pathways of neurodegeneration - multiple diseases	0.0094	0.18
Disease-state	mDC	Mineral absorption	0.012	0.21
Disease-state	mDC	Steroid biosynthesis	0.013	0.23
Disease-state	mDC	Bladder cancer	0.018	0.3
Disease-state	mDC	RIG-I-like receptor signaling pathway	0.025	0.4
Disease-state	mDC	Transcriptional misregulation in cancer	0.029	0.41
Disease-state	mDC	Measles	0.03	0.41
Disease-state	mDC	Cytosolic DNA-sensing pathway	0.03	0.41
Disease-state	mDC	Circadian rhythm	0.031	0.41
Disease-state	mDC	Aminoacyl-tRNA biosynthesis	0.037	0.47
Disease-state	mDC	Proximal tubule bicarbonate reclamation	0.04	0.47
Disease-state	mDC	Human immunodeficiency virus 1 infection	0.041	0.47
Disease-state	mDC	Apoptosis	0.043	0.48
Disease-state	pDC	Proteasome	2.1e-08	6.4e-06
Disease-state	pDC	Influenza A	8.4e-08	1.3e-05
Disease-state	pDC	Epstein-Barr virus infection	2.4e-07	2.5e-05
Disease-state	pDC	Measles	8.1e-06	0.00063
Disease-state	pDC	Hepatitis C	2.4e-05	0.0015
