Cell type	PC	Clinical parameter	Effect size	Standard error	Pvalue	FDR
Fr. III T	PC5	mucocutaneous	0.39	0.26	0.13	0.71
Fr. III T	PC5	musculoskeletal	0.65	0.27	0.019	0.4
Fr. III T	PC5	renal	0.56	0.25	0.029	0.45
Fr. III T	PC5	extrarenal	-0.044	0.36	0.9	0.99
Fr. III T	PC5	hematological	-0.22	0.32	0.49	0.92
Fr. III T	PC5	serological	0.11	0.22	0.61	0.95
Fr. III T	PC5	HCQ	-0.13	0.23	0.57	0.94
Fr. III T	PC5	MMF	0.37	0.28	0.19	0.77
Fr. III T	PC5	TAC	-0.12	0.29	0.68	0.96
Fr. III T	PC6	InactivevsHC	0.076	0.24	0.75	0.98
Fr. III T	PC6	LDAvsInactive	-0.21	0.36	0.56	0.94
Fr. III T	PC6	MDAvsInactive	0.082	0.37	0.82	0.99
Fr. III T	PC6	HDAvsInactive	0.5	0.34	0.15	0.73
Fr. III T	PC6	constitutional	0.52	0.35	0.14	0.72
Fr. III T	PC6	mucocutaneous	-0.18	0.27	0.5	0.92
Fr. III T	PC6	musculoskeletal	-0.19	0.28	0.5	0.92
Fr. III T	PC6	renal	-0.0014	0.26	  1	  1
Fr. III T	PC6	extrarenal	0.62	0.37	0.097	0.65
Fr. III T	PC6	hematological	0.35	0.34	0.3	0.84
Fr. III T	PC6	serological	-0.029	0.23	0.9	0.99
Fr. III T	PC6	HCQ	0.043	0.24	0.86	0.99
Fr. III T	PC6	MMF	-0.021	0.29	0.94	  1
Fr. III T	PC6	TAC	0.39	0.3	0.19	0.78
Fr. III T	PC7	InactivevsHC	0.31	0.24	0.19	0.77
Fr. III T	PC7	LDAvsInactive	0.11	0.27	0.68	0.96
Fr. III T	PC7	MDAvsInactive	0.028	0.31	0.93	  1
Fr. III T	PC7	HDAvsInactive	-0.13	0.36	0.72	0.97
Fr. III T	PC7	constitutional	-0.17	0.32	0.6	0.94
Fr. III T	PC7	mucocutaneous	0.14	0.24	0.55	0.93
Fr. III T	PC7	musculoskeletal	0.18	0.26	0.47	0.91
Fr. III T	PC7	renal	-0.69	0.24	0.0041	0.19
Fr. III T	PC7	extrarenal	-0.17	0.33	0.6	0.94
Fr. III T	PC7	hematological	-0.08	0.3	0.79	0.98
Fr. III T	PC7	serological	0.21	0.21	0.32	0.85
Fr. III T	PC7	HCQ	0.1	0.22	0.64	0.95
Fr. III T	PC7	MMF	0.21	0.27	0.44	0.9
Fr. III T	PC7	TAC	0.29	0.27	0.29	0.83
Naive CD8	PC1	InactivevsHC	1.1	0.13	5.8e-15	1.5e-11
Naive CD8	PC1	LDAvsInactive	-0.0039	0.22	0.99	  1
Naive CD8	PC1	MDAvsInactive	0.32	0.24	0.18	0.77
Naive CD8	PC1	HDAvsInactive	0.67	0.24	0.0073	0.27
Naive CD8	PC1	constitutional	0.18	0.24	0.47	0.91
Naive CD8	PC1	mucocutaneous	0.33	0.18	0.067	0.59
Naive CD8	PC1	musculoskeletal	0.023	0.19	0.91	0.99
Naive CD8	PC1	renal	-0.0093	0.18	0.96	  1
Naive CD8	PC1	extrarenal	0.16	0.26	0.54	0.93
Naive CD8	PC1	hematological	0.1	0.23	0.66	0.96
Naive CD8	PC1	serological	0.35	0.16	0.027	0.44
Naive CD8	PC1	HCQ	0.073	0.16	0.65	0.95
Naive CD8	PC1	MMF	-0.062	0.18	0.73	0.97
Naive CD8	PC1	TAC	-0.052	0.19	0.78	0.98
Naive CD8	PC2	InactivevsHC	0.021	0.22	0.92	  1
Naive CD8	PC2	LDAvsInactive	-0.058	0.29	0.84	0.99
Naive CD8	PC2	MDAvsInactive	0.6	0.35	0.096	0.64
Naive CD8	PC2	HDAvsInactive	0.67	0.29	0.023	0.43
Naive CD8	PC2	constitutional	-0.084	0.33	0.8	0.98
Naive CD8	PC2	mucocutaneous	0.11	0.25	0.66	0.96
Naive CD8	PC2	musculoskeletal	0.35	0.26	0.18	0.77
Naive CD8	PC2	renal	0.65	0.24	0.0086	0.29
Naive CD8	PC2	extrarenal	0.077	0.35	0.82	0.99
Naive CD8	PC2	hematological	0.0064	0.32	0.98	  1
Naive CD8	PC2	serological	-0.016	0.21	0.94	  1
Naive CD8	PC2	HCQ	0.082	0.21	0.7	0.96
Naive CD8	PC2	MMF	-0.003	0.24	0.99	  1
Naive CD8	PC2	TAC	0.3	0.25	0.23	0.8
Naive CD8	PC3	InactivevsHC	0.3	0.2	0.14	0.72
Naive CD8	PC3	LDAvsInactive	0.68	0.26	0.011	0.33
Naive CD8	PC3	MDAvsInactive	0.41	0.29	0.16	0.74
Naive CD8	PC3	HDAvsInactive	0.57	0.25	0.028	0.44
Naive CD8	PC3	constitutional	0.34	0.3	0.27	0.83
Naive CD8	PC3	mucocutaneous	0.34	0.23	0.14	0.72
Naive CD8	PC3	musculoskeletal	-0.12	0.24	0.61	0.95
Naive CD8	PC3	renal	0.3	0.22	0.18	0.77
Naive CD8	PC3	extrarenal	-0.14	0.32	0.65	0.96
Naive CD8	PC3	hematological	-0.38	0.29	0.19	0.77
Naive CD8	PC3	serological	0.047	0.19	0.81	0.99
Naive CD8	PC3	HCQ	-0.014	0.2	0.94	  1
Naive CD8	PC3	MMF	0.072	0.22	0.75	0.97
Naive CD8	PC3	TAC	-0.1	0.23	0.65	0.96
Naive CD8	PC4	InactivevsHC	-0.16	0.18	0.39	0.88
Naive CD8	PC4	LDAvsInactive	0.36	0.27	0.19	0.78
Naive CD8	PC4	MDAvsInactive	0.42	0.29	0.15	0.73
Naive CD8	PC4	HDAvsInactive	0.79	0.29	0.0097	0.3
Naive CD8	PC4	constitutional	-0.048	0.28	0.87	0.99
Naive CD8	PC4	mucocutaneous	0.0013	0.21	0.99	  1
Naive CD8	PC4	musculoskeletal	0.4	0.22	0.079	0.61
Naive CD8	PC4	renal	0.54	0.21	0.01	0.31
Naive CD8	PC4	extrarenal	0.15	0.3	0.62	0.95
Naive CD8	PC4	hematological	-0.21	0.27	0.43	0.9
Naive CD8	PC4	serological	0.32	0.18	0.081	0.62
Naive CD8	PC4	HCQ	-0.3	0.18	0.11	0.66
Naive CD8	PC4	MMF	-0.11	0.21	0.59	0.94
Naive CD8	PC4	TAC	0.38	0.22	0.083	0.62
Naive CD8	PC5	InactivevsHC	-0.41	0.17	0.016	0.38
Naive CD8	PC5	LDAvsInactive	-0.077	0.28	0.78	0.98
Naive CD8	PC5	MDAvsInactive	0.42	0.31	0.19	0.77
Naive CD8	PC5	HDAvsInactive	1.1	0.24	2.5e-05	0.0051
Naive CD8	PC5	constitutional	0.81	0.32	0.012	0.34
Naive CD8	PC5	mucocutaneous	-0.16	0.24	0.5	0.92
Naive CD8	PC5	musculoskeletal	0.32	0.25	0.2	0.79
Naive CD8	PC5	renal	0.3	0.23	0.21	0.79
Naive CD8	PC5	extrarenal	0.54	0.33	0.11	0.66
Naive CD8	PC5	hematological	0.51	0.3	0.094	0.64
Naive CD8	PC5	serological	-0.083	0.2	0.68	0.96
Naive CD8	PC5	HCQ	0.0052	0.21	0.98	  1
Naive CD8	PC5	MMF	-0.38	0.23	0.11	0.66
Naive CD8	PC5	TAC	-0.078	0.25	0.75	0.98
Naive CD8	PC6	InactivevsHC	-0.31	0.18	0.083	0.62
Naive CD8	PC6	LDAvsInactive	-0.27	0.28	0.34	0.86
Naive CD8	PC6	MDAvsInactive	0.35	0.28	0.22	0.8
Naive CD8	PC6	HDAvsInactive	0.68	0.33	0.042	0.52
Naive CD8	PC6	constitutional	0.47	0.32	0.15	0.73
Naive CD8	PC6	mucocutaneous	0.067	0.24	0.78	0.98
Naive CD8	PC6	musculoskeletal	0.65	0.26	0.013	0.35
Naive CD8	PC6	renal	0.11	0.24	0.64	0.95
Naive CD8	PC6	extrarenal	0.07	0.34	0.84	0.99
Naive CD8	PC6	hematological	0.44	0.31	0.16	0.74
Naive CD8	PC6	serological	-0.0069	0.21	0.97	  1
Naive CD8	PC6	HCQ	-0.2	0.21	0.35	0.87
Naive CD8	PC6	MMF	-0.0094	0.24	0.97	  1
Naive CD8	PC6	TAC	-0.37	0.25	0.14	0.72
Naive CD8	PC7	InactivevsHC	0.21	0.2	0.3	0.84
Naive CD8	PC7	LDAvsInactive	-0.013	0.3	0.97	  1
Naive CD8	PC7	MDAvsInactive	0.26	0.3	0.39	0.89
Naive CD8	PC7	HDAvsInactive	0.13	0.28	0.65	0.95
Naive CD8	PC7	constitutional	-0.36	0.32	0.26	0.82
Naive CD8	PC7	mucocutaneous	0.26	0.23	0.28	0.83
Naive CD8	PC7	musculoskeletal	0.48	0.25	0.056	0.56
Naive CD8	PC7	renal	-0.02	0.23	0.93	  1
Naive CD8	PC7	extrarenal	0.091	0.33	0.78	0.98
Naive CD8	PC7	hematological	-0.064	0.3	0.83	0.99
Naive CD8	PC7	serological	-0.034	0.2	0.87	0.99
Naive CD8	PC7	HCQ	-0.22	0.21	0.29	0.83
Naive CD8	PC7	MMF	-0.11	0.23	0.63	0.95
Naive CD8	PC7	TAC	0.22	0.24	0.37	0.88
CM CD8	PC1	InactivevsHC	0.51	0.14	0.0006	0.06
CM CD8	PC1	LDAvsInactive	0.25	0.25	0.34	0.86
CM CD8	PC1	MDAvsInactive	0.61	0.25	0.021	0.41
CM CD8	PC1	HDAvsInactive	0.78	0.26	0.0039	0.19
CM CD8	PC1	constitutional	-0.011	0.28	0.97	  1
CM CD8	PC1	mucocutaneous	0.41	0.22	0.063	0.58
CM CD8	PC1	musculoskeletal	0.12	0.24	0.62	0.95
CM CD8	PC1	renal	0.44	0.21	0.037	0.49
CM CD8	PC1	extrarenal	0.21	0.32	0.52	0.92
CM CD8	PC1	hematological	-0.19	0.27	0.49	0.92
CM CD8	PC1	serological	0.25	0.19	0.18	0.77
CM CD8	PC1	HCQ	-0.082	0.2	0.68	0.96
CM CD8	PC1	MMF	-0.79	0.22	0.00053	0.055
CM CD8	PC1	TAC	0.21	0.24	0.38	0.88
CM CD8	PC2	InactivevsHC	0.52	0.22	0.02	0.41
CM CD8	PC2	LDAvsInactive	-0.4	0.29	0.18	0.76
CM CD8	PC2	MDAvsInactive	-0.53	0.32	0.1	0.65
CM CD8	PC2	HDAvsInactive	-0.48	0.37	0.21	0.79
CM CD8	PC2	constitutional	0.4	0.34	0.23	0.8
CM CD8	PC2	mucocutaneous	-0.068	0.26	0.79	0.98
CM CD8	PC2	musculoskeletal	-0.082	0.28	0.77	0.98
CM CD8	PC2	renal	-0.6	0.25	0.016	0.38
CM CD8	PC2	extrarenal	0.16	0.37	0.66	0.96
CM CD8	PC2	hematological	0.26	0.31	0.4	0.89
CM CD8	PC2	serological	0.063	0.22	0.78	0.98
CM CD8	PC2	HCQ	0.19	0.23	0.4	0.89
CM CD8	PC2	MMF	-0.05	0.26	0.85	0.99
CM CD8	PC2	TAC	-0.0067	0.28	0.98	  1
CM CD8	PC3	InactivevsHC	0.59	0.2	0.0046	0.21
CM CD8	PC3	LDAvsInactive	-0.31	0.29	0.29	0.83
CM CD8	PC3	MDAvsInactive	0.18	0.32	0.59	0.94
CM CD8	PC3	HDAvsInactive	0.82	0.31	0.012	0.34
CM CD8	PC3	constitutional	0.12	0.32	0.71	0.97
CM CD8	PC3	mucocutaneous	0.06	0.24	0.81	0.99
CM CD8	PC3	musculoskeletal	0.31	0.27	0.25	0.82
CM CD8	PC3	renal	0.027	0.24	0.91	0.99
CM CD8	PC3	extrarenal	0.45	0.36	0.21	0.79
CM CD8	PC3	hematological	0.37	0.3	0.22	0.8
CM CD8	PC3	serological	0.00065	0.21	  1	  1
CM CD8	PC3	HCQ	0.086	0.21	0.69	0.96
CM CD8	PC3	MMF	-0.093	0.24	0.7	0.96
CM CD8	PC3	TAC	0.22	0.26	0.4	0.89
CM CD8	PC4	InactivevsHC	0.63	0.23	0.0061	0.24
CM CD8	PC4	LDAvsInactive	0.11	0.28	0.69	0.96
CM CD8	PC4	MDAvsInactive	-0.027	0.33	0.94	  1
CM CD8	PC4	HDAvsInactive	0.3	0.32	0.35	0.87
CM CD8	PC4	constitutional	0.74	0.3	0.017	0.39
CM CD8	PC4	mucocutaneous	0.17	0.23	0.46	0.91
CM CD8	PC4	musculoskeletal	-0.1	0.25	0.68	0.96
CM CD8	PC4	renal	0.06	0.22	0.79	0.98
CM CD8	PC4	extrarenal	0.014	0.34	0.97	  1
CM CD8	PC4	hematological	-0.17	0.28	0.55	0.93
CM CD8	PC4	serological	-0.046	0.2	0.82	0.99
CM CD8	PC4	HCQ	-0.12	0.21	0.58	0.94
CM CD8	PC4	MMF	0.28	0.24	0.23	0.81
CM CD8	PC4	TAC	-0.3	0.26	0.25	0.82
CM CD8	PC5	InactivevsHC	-0.21	0.23	0.36	0.88
CM CD8	PC5	LDAvsInactive	0.59	0.31	0.065	0.58
CM CD8	PC5	MDAvsInactive	0.23	0.38	0.54	0.93
CM CD8	PC5	HDAvsInactive	0.52	0.32	0.12	0.68
CM CD8	PC5	constitutional	0.14	0.36	0.7	0.96
CM CD8	PC5	mucocutaneous	-0.15	0.27	0.59	0.94
CM CD8	PC5	musculoskeletal	-0.1	0.3	0.73	0.97
CM CD8	PC5	renal	-0.026	0.26	0.92	  1
CM CD8	PC5	extrarenal	0.37	0.4	0.35	0.87
CM CD8	PC5	hematological	0.13	0.33	0.7	0.96
CM CD8	PC5	serological	0.094	0.23	0.69	0.96
CM CD8	PC5	HCQ	0.068	0.24	0.77	0.98
CM CD8	PC5	MMF	0.19	0.27	0.49	0.92
CM CD8	PC5	TAC	0.15	0.29	0.6	0.94
CM CD8	PC6	InactivevsHC	0.1	0.22	0.65	0.95
CM CD8	PC6	LDAvsInactive	-0.6	0.31	0.059	0.57
CM CD8	PC6	MDAvsInactive	-0.2	0.38	0.6	0.95
CM CD8	PC6	HDAvsInactive	-0.11	0.36	0.76	0.98
CM CD8	PC6	constitutional	-0.28	0.34	0.42	0.9
CM CD8	PC6	mucocutaneous	-0.18	0.26	0.48	0.92
CM CD8	PC6	musculoskeletal	0.96	0.28	0.0011	0.089
CM CD8	PC6	renal	0.27	0.25	0.29	0.83
CM CD8	PC6	extrarenal	-0.072	0.38	0.85	0.99
CM CD8	PC6	hematological	-0.2	0.32	0.54	0.93
CM CD8	PC6	serological	-0.25	0.22	0.27	0.83
CM CD8	PC6	HCQ	0.089	0.24	0.71	0.97
CM CD8	PC6	MMF	-0.13	0.27	0.64	0.95
CM CD8	PC6	TAC	0.24	0.29	0.42	0.89
CM CD8	PC7	InactivevsHC	0.68	0.22	0.0029	0.16
CM CD8	PC7	LDAvsInactive	0.25	0.29	0.39	0.89
CM CD8	PC7	MDAvsInactive	-0.52	0.28	0.072	0.6
CM CD8	PC7	HDAvsInactive	-0.096	0.33	0.77	0.98
CM CD8	PC7	constitutional	-0.44	0.32	0.17	0.76
CM CD8	PC7	mucocutaneous	0.019	0.24	0.94	  1
CM CD8	PC7	musculoskeletal	-0.068	0.27	0.8	0.98
CM CD8	PC7	renal	-0.39	0.23	0.1	0.65
CM CD8	PC7	extrarenal	0.36	0.35	0.31	0.85
CM CD8	PC7	hematological	0.13	0.3	0.66	0.96
CM CD8	PC7	serological	0.24	0.21	0.26	0.82
CM CD8	PC7	HCQ	0.027	0.21	0.9	0.99
CM CD8	PC7	MMF	0.29	0.24	0.24	0.81
CM CD8	PC7	TAC	-0.066	0.26	0.8	0.99
EM CD8	PC1	InactivevsHC	0.78	0.11	1.1e-10	1.1e-07
EM CD8	PC1	LDAvsInactive	0.27	0.19	0.17	0.75
EM CD8	PC1	MDAvsInactive	0.6	0.18	0.0022	0.14
EM CD8	PC1	HDAvsInactive	0.99	0.21	1.5e-05	0.0034
EM CD8	PC1	constitutional	0.088	0.23	0.7	0.96
EM CD8	PC1	mucocutaneous	0.37	0.17	0.029	0.45
EM CD8	PC1	musculoskeletal	0.33	0.18	0.072	0.6
EM CD8	PC1	renal	0.32	0.17	0.056	0.56
EM CD8	PC1	extrarenal	0.25	0.24	0.3	0.84
EM CD8	PC1	hematological	0.16	0.22	0.46	0.91
EM CD8	PC1	serological	0.26	0.15	0.074	0.6
EM CD8	PC1	HCQ	-0.48	0.15	0.0015	0.11
EM CD8	PC1	MMF	-0.35	0.17	0.037	0.49
EM CD8	PC1	TAC	-0.19	0.17	0.27	0.83
EM CD8	PC2	InactivevsHC	0.088	0.21	0.68	0.96
EM CD8	PC2	LDAvsInactive	-0.021	0.28	0.94	  1
EM CD8	PC2	MDAvsInactive	0.35	0.31	0.26	0.82
EM CD8	PC2	HDAvsInactive	0.021	0.31	0.95	  1
EM CD8	PC2	constitutional	0.13	0.33	0.7	0.96
EM CD8	PC2	mucocutaneous	-0.049	0.24	0.84	0.99
EM CD8	PC2	musculoskeletal	-0.13	0.27	0.63	0.95
EM CD8	PC2	renal	0.33	0.24	0.17	0.76
EM CD8	PC2	extrarenal	-0.11	0.35	0.76	0.98
EM CD8	PC2	hematological	-0.21	0.31	0.5	0.92
EM CD8	PC2	serological	-0.21	0.21	0.32	0.85
EM CD8	PC2	HCQ	-0.15	0.21	0.48	0.92
EM CD8	PC2	MMF	-0.056	0.24	0.82	0.99
EM CD8	PC2	TAC	-0.071	0.25	0.78	0.98
EM CD8	PC3	InactivevsHC	-0.58	0.2	0.004	0.19
EM CD8	PC3	LDAvsInactive	-0.14	0.25	0.58	0.94
EM CD8	PC3	MDAvsInactive	0.39	0.28	0.16	0.74
EM CD8	PC3	HDAvsInactive	  1	0.29	0.00098	0.083
EM CD8	PC3	constitutional	0.21	0.29	0.47	0.91
EM CD8	PC3	mucocutaneous	-0.047	0.22	0.83	0.99
EM CD8	PC3	musculoskeletal	0.72	0.24	0.0028	0.16
EM CD8	PC3	renal	0.59	0.21	0.007	0.26
EM CD8	PC3	extrarenal	0.42	0.31	0.18	0.76
EM CD8	PC3	hematological	0.28	0.28	0.31	0.85
EM CD8	PC3	serological	-0.00068	0.19	  1	  1
EM CD8	PC3	HCQ	0.065	0.19	0.73	0.97
EM CD8	PC3	MMF	-0.15	0.22	0.49	0.92
EM CD8	PC3	TAC	-0.16	0.22	0.49	0.92
EM CD8	PC4	InactivevsHC	0.0045	0.21	0.98	  1
EM CD8	PC4	LDAvsInactive	-0.49	0.24	0.048	0.54
EM CD8	PC4	MDAvsInactive	0.0048	0.32	0.99	  1
EM CD8	PC4	HDAvsInactive	0.19	0.26	0.46	0.91
EM CD8	PC4	constitutional	-0.32	0.31	0.31	0.85
EM CD8	PC4	mucocutaneous	0.04	0.23	0.87	0.99
EM CD8	PC4	musculoskeletal	0.41	0.25	0.11	0.67
EM CD8	PC4	renal	0.042	0.23	0.86	0.99
EM CD8	PC4	extrarenal	0.28	0.33	0.4	0.89
EM CD8	PC4	hematological	0.27	0.3	0.36	0.88
EM CD8	PC4	serological	-0.098	0.2	0.63	0.95
EM CD8	PC4	HCQ	0.39	0.2	0.051	0.54
EM CD8	PC4	MMF	-0.12	0.22	0.6	0.94
EM CD8	PC4	TAC	0.49	0.23	0.038	0.49
EM CD8	PC5	InactivevsHC	0.86	0.19	1.3e-05	0.003
EM CD8	PC5	LDAvsInactive	-0.21	0.21	0.33	0.86
EM CD8	PC5	MDAvsInactive	-0.1	0.23	0.65	0.95
EM CD8	PC5	HDAvsInactive	-0.094	0.25	0.71	0.97
EM CD8	PC5	constitutional	0.082	0.27	0.76	0.98
EM CD8	PC5	mucocutaneous	-0.13	0.2	0.52	0.92
EM CD8	PC5	musculoskeletal	0.037	0.22	0.87	0.99
EM CD8	PC5	renal	-0.11	0.2	0.57	0.94
EM CD8	PC5	extrarenal	0.16	0.28	0.58	0.94
EM CD8	PC5	hematological	-0.27	0.25	0.29	0.83
EM CD8	PC5	serological	-0.0022	0.17	0.99	  1
EM CD8	PC5	HCQ	0.44	0.17	0.011	0.33
EM CD8	PC5	MMF	0.28	0.19	0.15	0.73
EM CD8	PC5	TAC	0.39	0.2	0.052	0.55
EM CD8	PC6	InactivevsHC	0.028	0.2	0.89	0.99
EM CD8	PC6	LDAvsInactive	-0.2	0.28	0.47	0.91
EM CD8	PC6	MDAvsInactive	0.23	0.34	0.49	0.92
EM CD8	PC6	HDAvsInactive	0.13	0.31	0.68	0.96
EM CD8	PC6	constitutional	0.061	0.35	0.86	0.99
EM CD8	PC6	mucocutaneous	0.068	0.26	0.79	0.98
EM CD8	PC6	musculoskeletal	-0.16	0.28	0.58	0.94
EM CD8	PC6	renal	0.098	0.25	0.7	0.97
EM CD8	PC6	extrarenal	0.009	0.37	0.98	  1
EM CD8	PC6	hematological	0.19	0.33	0.56	0.94
EM CD8	PC6	serological	-0.12	0.22	0.61	0.95
EM CD8	PC6	HCQ	0.25	0.22	0.27	0.83
EM CD8	PC6	MMF	0.092	0.25	0.71	0.97
EM CD8	PC6	TAC	-0.002	0.26	0.99	  1
EM CD8	PC7	InactivevsHC	0.15	0.19	0.42	0.9
EM CD8	PC7	LDAvsInactive	0.43	0.24	0.073	0.6
EM CD8	PC7	MDAvsInactive	0.42	0.27	0.13	0.71
EM CD8	PC7	HDAvsInactive	0.23	0.29	0.43	0.9
EM CD8	PC7	constitutional	-0.56	0.29	0.055	0.56
EM CD8	PC7	mucocutaneous	0.48	0.22	0.028	0.44
EM CD8	PC7	musculoskeletal	-0.31	0.24	0.19	0.77
EM CD8	PC7	renal	0.24	0.21	0.26	0.83
EM CD8	PC7	extrarenal	0.18	0.31	0.56	0.94
EM CD8	PC7	hematological	-0.45	0.28	0.11	0.66
EM CD8	PC7	serological	0.11	0.19	0.55	0.93
EM CD8	PC7	HCQ	0.37	0.19	0.052	0.55
EM CD8	PC7	MMF	0.28	0.22	0.2	0.79
EM CD8	PC7	TAC	0.27	0.22	0.23	0.8
TEMRA CD8	PC1	InactivevsHC	0.64	0.17	0.00029	0.035
TEMRA CD8	PC1	LDAvsInactive	0.13	0.21	0.55	0.93
TEMRA CD8	PC1	MDAvsInactive	0.55	0.25	0.032	0.47
TEMRA CD8	PC1	HDAvsInactive	0.92	0.23	0.00026	0.032
TEMRA CD8	PC1	constitutional	0.19	0.24	0.43	0.9
TEMRA CD8	PC1	mucocutaneous	0.41	0.18	0.023	0.43
TEMRA CD8	PC1	musculoskeletal	0.35	0.19	0.073	0.6
TEMRA CD8	PC1	renal	0.22	0.18	0.22	0.8
TEMRA CD8	PC1	extrarenal	0.24	0.25	0.35	0.87
TEMRA CD8	PC1	hematological	0.48	0.23	0.038	0.49
TEMRA CD8	PC1	serological	0.16	0.15	0.31	0.85
TEMRA CD8	PC1	HCQ	-0.2	0.16	0.22	0.8
TEMRA CD8	PC1	MMF	-0.22	0.18	0.23	0.8
TEMRA CD8	PC1	TAC	-0.094	0.19	0.61	0.95
TEMRA CD8	PC2	InactivevsHC	-0.0057	0.21	0.98	  1
TEMRA CD8	PC2	LDAvsInactive	0.27	0.29	0.36	0.87
TEMRA CD8	PC2	MDAvsInactive	0.36	0.31	0.25	0.82
TEMRA CD8	PC2	HDAvsInactive	0.25	0.34	0.47	0.91
TEMRA CD8	PC2	constitutional	0.35	0.33	0.29	0.83
TEMRA CD8	PC2	mucocutaneous	-0.0092	0.25	0.97	  1
TEMRA CD8	PC2	musculoskeletal	0.043	0.26	0.87	0.99
TEMRA CD8	PC2	renal	0.25	0.25	0.32	0.85
TEMRA CD8	PC2	extrarenal	-0.3	0.35	0.4	0.89
TEMRA CD8	PC2	hematological	0.22	0.32	0.49	0.92
TEMRA CD8	PC2	serological	0.044	0.21	0.84	0.99
TEMRA CD8	PC2	HCQ	-0.31	0.21	0.16	0.74
TEMRA CD8	PC2	MMF	-0.032	0.24	0.89	0.99
TEMRA CD8	PC2	TAC	-0.27	0.25	0.28	0.83
TEMRA CD8	PC3	InactivevsHC	0.19	0.21	0.37	0.88
TEMRA CD8	PC3	LDAvsInactive	0.096	0.27	0.72	0.97
TEMRA CD8	PC3	MDAvsInactive	0.63	0.29	0.039	0.49
TEMRA CD8	PC3	HDAvsInactive	1.4	0.3	2.6e-05	0.0052
TEMRA CD8	PC3	constitutional	0.23	0.29	0.44	0.9
TEMRA CD8	PC3	mucocutaneous	0.24	0.22	0.28	0.83
TEMRA CD8	PC3	musculoskeletal	0.53	0.23	0.024	0.43
TEMRA CD8	PC3	renal	0.58	0.22	0.0077	0.27
TEMRA CD8	PC3	extrarenal	0.22	0.31	0.48	0.92
TEMRA CD8	PC3	hematological	0.21	0.28	0.45	0.91
TEMRA CD8	PC3	serological	0.23	0.19	0.22	0.8
TEMRA CD8	PC3	HCQ	0.11	0.19	0.55	0.93
TEMRA CD8	PC3	MMF	-0.06	0.21	0.78	0.98
TEMRA CD8	PC3	TAC	0.42	0.22	0.053	0.55
TEMRA CD8	PC4	InactivevsHC	0.32	0.19	0.092	0.64
TEMRA CD8	PC4	LDAvsInactive	0.55	0.24	0.027	0.44
TEMRA CD8	PC4	MDAvsInactive	0.16	0.29	0.58	0.94
TEMRA CD8	PC4	HDAvsInactive	0.37	0.23	0.12	0.68
TEMRA CD8	PC4	constitutional	0.2	0.3	0.5	0.92
TEMRA CD8	PC4	mucocutaneous	0.14	0.22	0.52	0.92
TEMRA CD8	PC4	musculoskeletal	-0.087	0.24	0.72	0.97
TEMRA CD8	PC4	renal	0.24	0.22	0.27	0.83
TEMRA CD8	PC4	extrarenal	0.094	0.32	0.77	0.98
TEMRA CD8	PC4	hematological	-0.71	0.29	0.016	0.38
TEMRA CD8	PC4	serological	0.07	0.19	0.72	0.97
TEMRA CD8	PC4	HCQ	-0.051	0.2	0.8	0.98
TEMRA CD8	PC4	MMF	0.16	0.22	0.48	0.92
TEMRA CD8	PC4	TAC	-0.18	0.23	0.43	0.9
TEMRA CD8	PC5	InactivevsHC	0.89	0.21	2.9e-05	0.0055
TEMRA CD8	PC5	LDAvsInactive	-0.35	0.25	0.16	0.74
TEMRA CD8	PC5	MDAvsInactive	-0.26	0.28	0.36	0.88
TEMRA CD8	PC5	HDAvsInactive	-0.78	0.24	0.0022	0.14
TEMRA CD8	PC5	constitutional	-0.59	0.28	0.039	0.49
TEMRA CD8	PC5	mucocutaneous	0.15	0.21	0.48	0.92
TEMRA CD8	PC5	musculoskeletal	-0.018	0.22	0.94	  1
TEMRA CD8	PC5	renal	-0.073	0.21	0.73	0.97
TEMRA CD8	PC5	extrarenal	-0.0031	0.29	0.99	  1
TEMRA CD8	PC5	hematological	-0.46	0.27	0.086	0.62
TEMRA CD8	PC5	serological	-0.3	0.18	0.097	0.65
TEMRA CD8	PC5	HCQ	0.21	0.18	0.25	0.82
TEMRA CD8	PC5	MMF	0.35	0.21	0.089	0.63
TEMRA CD8	PC5	TAC	0.15	0.21	0.49	0.92
TEMRA CD8	PC6	InactivevsHC	-0.33	0.21	0.11	0.68
TEMRA CD8	PC6	LDAvsInactive	-0.4	0.27	0.13	0.71
TEMRA CD8	PC6	MDAvsInactive	0.06	0.33	0.86	0.99
TEMRA CD8	PC6	HDAvsInactive	0.79	0.31	0.013	0.35
TEMRA CD8	PC6	constitutional	0.36	0.31	0.25	0.82
TEMRA CD8	PC6	mucocutaneous	0.054	0.23	0.81	0.99
TEMRA CD8	PC6	musculoskeletal	0.62	0.24	0.013	0.35
TEMRA CD8	PC6	renal	0.42	0.23	0.064	0.58
TEMRA CD8	PC6	extrarenal	0.19	0.32	0.55	0.93
TEMRA CD8	PC6	hematological	-0.33	0.29	0.26	0.82
TEMRA CD8	PC6	serological	-0.059	0.2	0.76	0.98
TEMRA CD8	PC6	HCQ	-0.064	0.2	0.75	0.97
TEMRA CD8	PC6	MMF	0.031	0.22	0.89	0.99
TEMRA CD8	PC6	TAC	-0.21	0.23	0.35	0.87
TEMRA CD8	PC7	InactivevsHC	0.19	0.22	0.38	0.88
TEMRA CD8	PC7	LDAvsInactive	-0.053	0.26	0.84	0.99
